idx,text,matched_place,confidence,center_x,center_y,width,height,norm_center_x,norm_center_y,polygon_xy
6,여의도이용소,여의도,0.36055224200797814,652.0,223.0,66.0,16.0,0.4667143879742305,0.21650485436893205,"[[619.0, 215.0], [685.0, 215.0], [685.0, 231.0], [619.0, 231.0]]"
9,여의도,여의도,0.9998538160368458,918.0,246.0,34.0,14.0,0.6571224051539012,0.23883495145631067,"[[901.0, 239.0], [935.0, 239.0], [935.0, 253.0], [901.0, 253.0]]"
15,여의도빛꽃길,여의도,0.7328749798473335,807.0,345.0,84.0,20.0,0.5776664280601288,0.33495145631067963,"[[765.0, 335.0], [849.0, 335.0], [849.0, 355.0], [765.0, 355.0]]"
18,여의도,여의도,0.9995951104761099,1081.0,400.0,36.0,14.0,0.7738010021474588,0.3883495145631068,"[[1063.0, 393.0], [1099.0, 393.0], [1099.0, 407.0], [1063.0, 407.0]]"
21,한강공원,한강공원,0.9752029776573181,1082.0,415.0,46.0,16.0,0.7745168217609163,0.4029126213592233,"[[1059.0, 407.0], [1105.0, 407.0], [1105.0, 423.0], [1059.0, 423.0]]"
37,여의도,여의도,0.7118627049764789,904.5,516.0,37.0,18.0,0.6474588403722262,0.5009708737864078,"[[886.0, 507.0], [923.0, 507.0], [923.0, 525.0], [886.0, 525.0]]"
62,여의도,여의도,0.9990352662935242,892.0,678.0,50.0,26.0,0.6385110952040086,0.658252427184466,"[[867.0, 665.0], [917.0, 665.0], [917.0, 691.0], [867.0, 691.0]]"
64,여의도,여의도,0.9987148630136612,677.0,696.0,36.0,14.0,0.4846098783106657,0.6757281553398058,"[[659.0, 689.0], [695.0, 689.0], [695.0, 703.0], [659.0, 703.0]]"
65,서울영등,서울,0.8064064383506775,176.0,721.0,46.0,16.0,0.12598425196850394,0.7,"[[153.0, 713.0], [199.0, 713.0], [199.0, 729.0], [153.0, 729.0]]"
74,여의도공작,여의도,0.7261227096409473,1331.0,746.0,56.0,14.0,0.952755905511811,0.7242718446601941,"[[1303.0, 739.0], [1359.0, 739.0], [1359.0, 753.0], [1303.0, 753.0]]"
78,여의도공원,여의도,0.8562340287568406,938.0,773.0,58.0,16.0,0.6714387974230493,0.7504854368932039,"[[909.0, 765.0], [967.0, 765.0], [967.0, 781.0], [909.0, 781.0]]"
110,여의도공원 문화의마당,여의도,0.6489285425375076,859.0,940.0,154.0,24.0,0.6148890479599141,0.912621359223301,"[[782.0, 928.0], [936.0, 928.0], [936.0, 952.0], [782.0, 952.0]]"
116,한강성심범원,한강,0.3835853380751922,284.0,979.0,66.0,16.0,0.2032927702219041,0.9504854368932039,"[[251.0, 971.0], [317.0, 971.0], [317.0, 987.0], [251.0, 987.0]]"
